Term,Meaning (VI),Target EN,Target ZH,,
production,Chuyền sản xuất,Production line,生產線,,
production,Công đoạn,Operation,工序,,
production,Quy trình chuẩn,Standard Operating Procedure,標準作業程序,,
production,Hướng dẫn công việc,Work Instruction,作業指導書,,
LEAN,Thời gian takt,Takt time,節拍時間,,
LEAN,Thời gian chu kỳ,Cycle time,週期時間,,
LEAN,Điểm nghẽn,Bottleneck,瓶頸,,
production,Năng lực sản xuất,Capacity,產能,,
production,Sản lượng,Output,產量,,
LEAN,Cân bằng chuyền,Line balancing,平衡生產線,,
production,Giờ công,Working hours,工時,,
production,Bố trí nhân lực,Manpower allocation,人力配置,,
production,Sản xuất thử,Trial production,試產,,
production,Sản xuất hàng loạt,Mass production,量產,,
production,Chuyển mã,Model changeover,轉單,,
LEAN,chuyển mã nhanh,Quick changeover,快速換線,,
production,Bán thành phẩm,Semi-finished goods,半成品,,
production,Thành phẩm,Finished goods,成品,,
production,Phế,Scrap,報廢,,
production,Tái chế,Rework,翻箱,,
production,Dừng chuyền,Line stop,停線,,
production,Tỷ lệ sử dụng,Utilization rate,稼動率,,
Quality,Tỷ lệ đạt,Pass rate,良率,,
production,Hàng tồn ứ,WIP,在製品,,
LEAN,Thời gian tiêu chuẩn,Standard time,標準時間,,
Quality,Kiểm soát chất lượng,Quality control,品質管制,,
Quality,Kiểm tra đầu chuyền,First inspection,首件檢查,,
Quality,Kiểm tra 100%,100% inspection,全檢,,
Quality,Kiểm tra lấy mẫu,Sampling inspection,抽檢,,
Quality,Kiểm tra ngoại quan,appearance inspection,外觀檢查,,
Quality,Mức độ,Tolerance,尺寸公差,,
Quality,Hàng lỗi,Defect,不良品,,
Quality,Lỗi lọt,Missed defect,漏檢,,
Quality,Biến dạng,Deformation,變形,,
Quality,Co rút,Shrinkage,收縮,,
Quality,Lệch màu,Color deviation,色差,,
Quality,Độ bám dính,bonding,附著力,,
Quality,Bong tróc,Peeling,剝離,,
Quality,Kiểm tra độ bền,Strength test,強度測試,,
Quality,Tiêu chuẩn chất lượng,Quality standard,品質標準,,
Quality,Truy xuất nguồn gốc,Traceability,追溯性,,
Quality,Khiếu nại khách hàng,Customer complaint,客訴,,
Quality,Đánh giá nội bộ,Internal audit,內部稽核,,
Quality,Phân tích lỗi,Failure analysis,失效分析,,
LEAN,Nguyên nhân gốc,Root cause,根本原因,,
production,Thân giày,Upper,鞋面,,
production,Đế lớn,Outsole,大底,,
production,Đế trung,Midsole,中底,,
production,Lưỡi gà,Tongue,鞋舌,,
production,Pho hậu,Heel counter,港寶,,
production,Bao mũi,Toe cap,鞋頭,,
production,Đế cốp,Insole,鞋墊,,
production,Phom,Last,鞋楦,,
production,Ép,Pressing,壓合,,
production,Quét keo,Cementing,上膠,,
production,Ép nóng,Heat pressing,熱壓,,
production,Làm lạnh,Cooling,冷卻,,
production,Mài,Buffing,打磨,,
production,Chặt,Cutting,裁斷,,
production,May,Stitching,縫製,,
production,Gò,Assembly,組裝,,
production,Gấp biên,Edge folding,折邊,,
production,Định vị,Positioning,定位,,
production,Đục lỗ,Punching,打孔,,
production,Lỗ thông hơi,Vent hole,氣孔,,
production,In,Printing,印刷,,
production,Cán,Lamination,貼合,,
production,Dây giày,Shoelace,鞋帶,,
production,Bao bì,Packing,包裝,,
production,Dán nhãn,Labeling,貼標,,
production,SOP,SOP,SOP,,
LEAN,CT,CT,CT,,
LEAN,TT,TT,TT,,
production,3 dây trang trí,3 Stripes,三飾條,,
production,Bao hậu HN,Lateral Heel Cap,後包片外腰,,
production,Bao hậu HT,Medial Heel Cap,後包片內腰,,
production,Trang trí hậu HN,Lateral Heel Patch,後套飾片 (外腰),,
production,Trang trí hậu HT,Medial Heel Patch,後套飾片 (內腰),,
Job title,Tổ phó,,副組長,,
Job title,CBTS-sản xuất,,實習幹部-生产,,
Job title,Công nhân,,工人,,
Job title,Tổ trưởng,,組長,,
Job title,Phó ngành,,副課長,,
Job title,Trưởng ngành,,課長,,
Job title,Phó tổng giám đốc,,副总经理,,
Job title,Kế toán trưởng,,会计长,,
Job title,Kế toán phó,,副会计长,,
Job title,Phó chủ nhiệm việt nam,,越南副主任,,
Job title,Nhân viên,,职员,,
Job title,Chủ nhiệm,,主任,,
Job title,CBTS-Nhân viên,,實習幹部-职员,,
Job title,Trưởng Bộ Phận,,组长,,
Job title,Trưởng Phòng,,课长,,
Job title,Phó phòng,,副课长,,
Job title,Phó Giám Đốc,,副经理,,
Job title,Phó Trưởng Xưởng,,副廠長,,
Job title,Giám đốc SEA,,SEA 经理,,
Job title,TRƯỞNG XƯỞNG,,廠長,,
Job title,Giám  đốc điều hành,,執行經理,,
Job title,Giám  đốc,,經理,,
Job title,Phó Giám Đốc,,副理,,
Job title,Tương Lý,,襄理,,
Job title,Tổng giám đốc,,總經理,,
Job title,Phó tổng giám  đốc,,副總經理,,
Job title,Trợ lý đặc biệt,,特助,,
Job title,Hiệp lý,,協理,,
Job title,Hiệp lý sản xuất,,協理,,
Job title,Phó hiệp lý,,副協理,,
Job title,Giám đốc xưởng,,經理,,
Quality issues,Vệ sinh dơ,Soiling,脏污,,
Quality issues,Hở keo,Bonding gap,开胶,,
Quality issues,Keo cao,Over - cementing,高胶,,
Quality issues,Đệm méo,Center off eyestay,鞋眼歪,,
Quality issues,Mũi méo,Center off Toe,鞋眼歪,,
Quality issues,Hậu méo,Center off Heel,鞋眼歪,,
Quality issues,Chỉ dư,Over thread,线头,,
Quality issues,tưa biên,Frayed edge,毛边,,
Quality issues,Mài trầy vật tư,Over - buffing,过度打粗,,
Quality issues,Cách biên không đều,Edge Distance Variation,编剧落差,,
Quality issues,Nhăn mặt giày,Wrinkled upper,鞋面起皱,,
Quality issues,Logo trang trí hậu cao thấp,Uneven Heel Cap Logo,后跟标志偏差,,
Dept name,A_G01,A_G01,A栋-成型 LINE 1,,
Dept name,A_G02,A_G02,A栋-成型 LINE 2,,
Dept name,A_G03,A_G03,A栋-成型 LINE 3,,
Dept name,A_G04,A_G04,A栋-成型 LINE 4,,
Dept name,A_G05,A_G05,A栋-成型 LINE 5,,
Dept name,A_G06,A_G06,A栋-成型 LINE 6,,
Dept name,A_G07,A_G07,A栋-成型 LINE 7,,
Dept name,A_G08,A_G08,A栋-成型 LINE 8,,
Dept name,A_G09,A_G09,A栋-成型 LINE 9,,
Dept name,A_G10,A_G10,A栋-成型 LINE 10,,
Dept name,A_G11,A_G11,A栋-成型 LINE 11,,
Dept name,A_G12,A_G12,A栋-成型 LINE 12,,
Dept name,A_G13,A_G13,A栋-成型 LINE 13,,
Dept name,A_G16,A_G16,A栋-成型 LINE 16,,
Dept name,A_M01,A_M01,A栋-針車 LINE 1,,
Dept name,A_M02,A_M02,A栋-針車 LINE 2,,
Dept name,A_M03,A_M03,A栋-針車 LINE 3,,
Dept name,A_M04,A_M04,A栋-針車 LINE 4,,
Dept name,A_M05,A_M05,A栋-針車 LINE 5,,
Dept name,A_M06,A_M06,A栋-針車 LINE 6,,
Dept name,A_M08,A_M08,A栋-針車 LINE 8,,
Dept name,A_M09,A_M09,A栋-針車 LINE 9,,
Dept name,A_M10,A_M10,A栋-針車 LINE 10,,
Dept name,A_M11,A_M11,A栋-針車 LINE 11,,
Dept name,A_M12,A_M12,A栋-針車 LINE 12,,
Dept name,A_M13,A_M13,A栋-針車 LINE 13,,
Dept name,A1_G01,A1_G01,A1栋-成型 LINE 01,,
Dept name,A1_G02,A1_G02,A1栋-成型 LINE 02,,
Dept name,A1_G03,A1_G03,A1栋-成型 LINE 03,,
Dept name,A1_G04,A1_G04,A1栋-成型 LINE 04,,
Dept name,A1_G05,A1_G05,A1栋-成型 LINE 05,,
Dept name,A1_G06,A1_G06,A1栋-成型 LINE 06,,
Dept name,A1_G07,A1_G07,A1栋-成型 LINE 07,,
Dept name,A1_G08,A1_G08,A1栋-成型 LINE 08,,
Dept name,A1_G09,A1_G09,A1栋-成型 LINE 09,,
Dept name,A1_KHO MŨ,A1_UPPER WH,A1 _ 鞋面倉,,
Dept name,A1_UV,A1_UV,A1_UV,,
Dept name,A2_CHẶT 08,A2_CUTTING 08,A2_裁断08,,
Dept name,A2_CHẶT 09,A2_CUTTING 09,A2_裁断09,,
Dept name,A2_CHẶT 10,A2_CUTTING 10,A2_裁断10,,
Dept name,A2_CHẶT 11,A2_CUTTING 11,A2_裁断11,,
Dept name,A2_CHẶT 12,A2_CUTTING 12,A2_裁断12,,
Dept name,A2_CHẶT 13,A2_CUTTING 13,A2_裁断13,,
Dept name,A2_UV,A2_UV,A2_UV,,
Dept name,A4_CHẶT 1,A4_CUTTING 1,A4_裁断1,,
Dept name,A4_UV,A4_UV,A4_UV,,
Dept name,B_G01,B_G01,B-成型 LINE 1,,
Dept name,B_G02,B_G02,B-成型 LINE 2,,
Dept name,B_G03,B_G03,B-成型 LINE 3,,
Dept name,B_G05,B_G05,B-成型 LINE 5,,
Dept name,B_G06,B_G06,B-成型 LINE 6,,
Dept name,B_M01,B_M01,B-針車 LINE 1,,
Dept name,B_M02,B_M02,B-針車 LINE 2,,
Dept name,B_M03,B_M03,B-針車 LINE 3,,
Dept name,B_M06,B_M06,B-針車 LINE 6,,
Dept name,B_MAIDE,B_BUFFING,B-磨大底,,
Dept name,B2_CHẶT,B2_CUTTING,B2_裁断,,
Dept name,B2_UV,B2_UV,B2-UV,,
Dept name,BẢO VỆ,SECURITY,守衛,,
Dept name,C_G01,C_G01,C_成型 LINE 1,,
Dept name,C_G02,C_G02,C_成型 LINE 2,,
Dept name,C_G03,C_G03,C_成型 LINE 3,,
Dept name,C_G04,C_G04,C_成型 LINE 4,,
Dept name,C_G05,C_G05,C_成型 LINE 5,,
Dept name,C_G06,C_G06,C_成型 LINE 6,,
Dept name,C_G07,C_G07,C_成型 LINE 7,,
Dept name,C_M01,C_M01,C_針車 LINE 1,,
Dept name,C_M02,C_M02,C_針車 LINE 2,,
Dept name,C_M03,C_M03,C_針車 LINE 3,,
Dept name,C_M04,C_M04,C_針車 LINE 4,,
Dept name,C_M05,C_M05,C_針車 LINE 5,,
Dept name,C_M06,C_M06,C_針車 LINE 6,,
Dept name,C_UV,C_UV,C_UV,,
Dept name,C2_CHẶT,C2_CUTTING,C2_裁断,,
Dept name,CẮT RẬP,PATTERN ROOM,割模具板,,
Dept name,CBSX_ECT,HF,生產準備組 –高週波,,
Dept name,CBSX_EN1,Heat pressing 1,備料生產-熱壓機1,,
Dept name,CBSX_EN2,Heat pressing 2,備料生產-熱壓機2,,
Dept name,CBSX_INLUA,Printing department,备料生产组 - 印刷組,,
Dept name,CHỈNH LÝ ĐẾ,,大底整理,,
Dept name,CHUẨN BỊ LIỆU ĐẾ,,准备大底的原料,,
Dept name,CICH,,公益,,
Dept name,CƠ ĐIỆN,,機械,,
Dept name,CÔNG ĐOÀN,,工團,,
Dept name,FIT,,FIT,,
Dept name,G3_CHẶT,G3_CUTTING,G3_裁断,,
Dept name,G3_G01,G3_G01,G3_成型 LINE1,,
Dept name,G3_G02,G3_G02,G3_成型 LINE2,,
Dept name,G3_G03,G3_G03,G3_成型 LINE3,,
Dept name,G3_G05,G3_G05,G3_成型 LINE5,,
Dept name,G3_G07,G3_G07,G3_成型 LINE7,,
Dept name,G3_G08,G3_G08,G3_成型 LINE8,,
Dept name,G3_M01,G3_M01,G3_针车 LINE 1,,
Dept name,G3_M02,G3_M02,G3_针车 LINE 2,,
Dept name,G3_M03,G3_M03,G3_针车 LINE 3,,
Dept name,G3_M05,G3_M05,G3_针车 LINE 5,,
Dept name,G3_UV,G3_UV,G3-UV,,
Dept name,G4_CHẶT,G4_CUTTING,G4_裁断 ,,
Dept name,G4_G01,G4_G01,G4_成型 LINE 1,,
Dept name,G4_G02,G4_G02,G4_成型 LINE 2,,
Dept name,G4_G03,G4_G03,G4_成型 LINE 3,,
Dept name,G4_G05,G4_G05,G4_成型 LINE 5,,
Dept name,G4_G06,G4_G06,G4_成型 LINE 6,,
Dept name,G4_G07,G4_G07,G4_成型 LINE 7,,
Dept name,G4_G08,G4_G08,G4_成型 LINE 8,,
Dept name,G4_M01,G4_M01,G4_针车 LINE 1,,
Dept name,G4_M02,G4_M02,G4_针车 LINE 2,,
Dept name,G4_M03,G4_M03,G4_针车 LINE 3,,
Dept name,G4_M05,G4_M05,G4_针车 LINE 5,,
Dept name,G4_M07,G4_M07,G4_针车 LINE 7,,
Dept name,G4_M08,G4_M08,G4_针车 LINE 8,,
Dept name,G4_UV,G4_UV,G4_UV,,
Dept name,GIA CÔNG ĐẾ _C11,Stockfit C11,底加工十一線,,
Dept name,GIA CÔNG ĐẾ_C 10,Stockfit C10,底加工十線,,
Dept name,GIA CÔNG ĐẾ_C1,Stockfit C1,底加工一線,,
Dept name,GIA CÔNG ĐẾ_C12,Stockfit C12,底加工十二線,,
Dept name,GIA CÔNG ĐẾ_C2,Stockfit C2,底加工二線,,
Dept name,GIA CÔNG ĐẾ_C3,Stockfit C3,底加工三線,,
Dept name,GIA CÔNG ĐẾ_C4,Stockfit C4,底加工四線,,
Dept name,GIA CÔNG ĐẾ_C5,Stockfit C5,底加工五線,,
Dept name,GIA CÔNG ĐẾ_C6,Stockfit C6,底加工六線,,
Dept name,GIA CÔNG ĐẾ_C7,Stockfit C7,底加工七線,,
Dept name,GIA CÔNG ĐẾ_C8,Stockfit C8,底加工八線,,
Dept name,GIA CÔNG ĐẾ_C9,Stockfit C9,底加工九線,,
Dept name,GIA CÔNG ĐẾ_KẾ HOACH,Stockfit Planning,底加工-生管,,
Dept name,GIA CÔNG ĐẾ_MAIDE,Stockfit Buffing,底加工-磨大底,,
Dept name,GIA CÔNG ĐẾ_UV,Stockfit UV,底加工- UV   ,,
Dept name,GME,GME,GME,,
Dept name,GQA,GQA,GQA,,
Dept name,IT - Phần cứng,IT - Hardware,IT_Hard,,
Dept name,IT - Phần mềm,IT - Software,IT_Soft,,
Dept name,KẾ HOẠCH,Planning,生管,,
Dept name,KẾ HOẠCH ĐẾ,Planning outsole,大底生管,,
Dept name,KẾ TOÁN,,会计,,
Dept name,KẾ TOÁN KHO,, 会计仓库,,
Dept name,KHC,,化料倉庫,,
Dept name,KHO ĐẾ LỚN,,"
大底倉",,
Dept name,KHO FOM,,楦頭倉,,
Dept name,KHO NGUYÊN LIỆU,,材料倉,,
Dept name,KTCCS_XD,,"大底廠,大車技轉",,
Dept name,KTP,,成品倉,,
Dept name,KỸ THUẬT,,技术部,,
Dept name,LAB,,LAB,,
Dept name,LHG_CI,,LHG_CI,,
Dept name,LHG_ĐỊNH MỨC,,LHG_用量,,
Dept name,LHG_GT/KTV,,LHG_總務,,
Dept name,LHG_KỸ THUẬT HÓA CHẤT,,LHG-化学技术,,
Dept name,LHG_TỔNG VỤ,,LHG_總務,,
Dept name,LHG_TỔNG VỤ (THU MUA),,LHG_總務（採購）,,
Dept name,LTY2,,LTY2,,
Dept name,MAY CHAT BAN TU DONG,,半自動裁断机,,
Dept name,MÁY NGHIỀN,,破碎机,,
Dept name,MCTĐ,,自动裁断机,,
Dept name,NGHIỆP VỤ,,业务,,
Dept name,NGHIỆP VỤ ĐẾ,,底业务,,
Dept name,NHA AN,,食堂,,
Dept name,NHAN VIEN MOI,,新進,,
Dept name,PHÁT HÀNG GIA CÔNG,,外发加工,,
Dept name,PHÒNG KEO,,调膠房,,
Dept name,QC 01,,品檢1,,
Dept name,QC 02,,品檢2,,
Dept name,QC 03,,品檢3,,
Dept name,QC 04,,品檢4,,
Dept name,QC 05,,品檢5,,
Dept name,QC 06,,品檢6,,
Dept name,QC 07,,品檢7,,
Dept name,QC 08,,品檢8,,
Dept name,QC 09,,品檢9,,
Dept name,QC 10,,品檢10,,
Dept name,QC 11,,品檢11,,
Dept name,QIP,,QIP,,
Dept name,SEA,,SEA,,
Dept name,THỢ MÁY,,机修,,
Dept name,THU MUA,,采购,,
Dept name,THU MUA ĐẾ,,大底采购,,
Dept name,TỔ PHUN SƠN,,喷漆组,,
Dept name,TRACKING,,TRACKING,,
Dept name,TRUNG TÂM ĐÀO TẠO,,培訓中心,,
Dept name,TRUNG TÂM MÁY CHẶT,,集中裁斷區,,
Dept name,TRUNG TÂM MÁY CHẶT 01,,集中裁斷區_01,,
Dept name,TRUNG TÂM MÁY CHẶT 02,,集中裁斷區_02,,
Dept name,VẠN MÃ LỰC,,万马力,,
Dept name,VĂN PHÒNG KHAI THÁC MẪU_R1,,样品开发办公室_R1,,
Dept name,VĂN PHÒNG SẢN XUẤT,,生產辦公室,,
Dept name,VPCT,,办公楼,,
Dept name,VPHT D1,,现场办公室D1,,
Dept name,VPHTA1,, 現場辦公室A1,,
Dept name,VPHTA2,, 現場辦公室A2,,
Dept name,VPHTA4,, 現場辦公室A4,,
Dept name,VPHTB1,,現場辦公室B1,,
Dept name,VPHTB2,,現場辦公室B2,,
Dept name,VPHTC2,,現場辦公室C2,,
Dept name,VPHTD3,,現場辦公室D3,,
Dept name,VPHTD4,,現場辦公室D4,,
Dept name,VPHTG3,,現場辦公室G3,,
Dept name,VPHTG4,,現場辦公室G4,,
Dept name,VPHTR1,,現場辦公室R1,,
Dept name,VPHTR2,,現場辦公室R2,,
Dept name,VPX,,廠務室,,
Dept name,XỬ LÝ NƯỚC THẢI,, 廢水處理廠,,
Dept name,XUATNHAPKHAU,,进出口,,
Dept name,XƯỞNG ĐẾ,,底廠,,
Dept name,Y TẾ,,医务室,,
Component,Lưỡi gà,Tongue,鞋舌,,
Component,Bao mũi,Toe cap,前套,,
Component,Đệm ô dê,Eyestay ,眼片,,
Component,Dây gót,Back strap,後吊,,
Component,Tăng cường Bao hậu,Heel rubber reinforcement,後包片,,
Component,Bao mũi,Vamp rubber,前包頭,,
Component,Mũi giày,Vamp   ,鞋頸,,
Component,Mũi đệm,Eyestay Vamp,鞋頭眼片,,
Component,Mũi-lưỡi gà,Vamp - tongue,鞋頭-鞋舌,,
Component,Mũi-thân HN,Vamp - lateral quarter ,鞋頭－鞋身外腰,,
Component,Thân HT,Medial quarter ,鞋身內腰,,
Component,Thân giày,Quarter  ,鞋身,,
Component,Thân giày(HT+HN),Quarter (lateral+medial),鞋身(HT+HN),,
Component,Vòng cổ,Collar,領口,,
Component,Vòng cổ dưới,Bottom collar,領口下片,,
Component,Vòng cổ hông trong,Collar medial ,內領口,,
Component,Vòng cổ giữa,Central Collar,領口中片,,
Component,Trang trí thân,Quarter deco,鞋身飾片,,
Component,Trang trí mũi,Vamp patch,鞋頭飾片,,
Component,Trang trí gót,Back strap patch,後跟飾片,,
Component,Lưỡi gà trên,Top tongue,上鞋舌,,
Component,Lưỡi gà giữa,Central tongue,中鞋舌,,
Component,Lưỡi gà dưới,Bottom tongue,下鞋舌,,
Component,Lót thân-mũi HT+HN,Quarter lining - medial + lateral collar,鞋身內裡－鞋頭內外腰,,
Component,Lót mũi-lgà,Vamp lining - tongue lining,鞋舌-鞋頭內裡,,
Component,Lót mũi,Vamp lining  ,鞋頭內裡,,
Component,Lót mũi-thân,Vamp lining - quarter lining ,鞋身-鞋頭內裡,,
Component,Lót thân,Quarter lining   ,鞋身內裡,,
Component,Lót hậu,Heel lining,後套內裡,,
Component,T/cường hậu,Heel cap reinforcement,後套補強,,
Component,T/cường vòng sân,Toe cap reinforcement,前套補強,,
Component,T/cường vcổ,Collar reinforcement,領口補強,,
Component,T/cường mũi,Vamp reinforcement,鞋頭補強,,
Component,T/cường đệm,Eystay reinforcement,眼片補強,,
Component,T/cường chân gò mũi,Vamp extension,鞋頭幫腳補強,,
Component,Đế cali,Insole board,加州中底,,
Component,Đế carton,Carton outsole,中底紙版,,
Component,Mouse vcổ,Collar padding,領口泡棉,,
Component,Mouse lgà,Tongue padding,鞋舌泡棉,,
Component,Đế trung,Sockliner,中底,,
Component,Cà chân gò thân,Rolling the edge of quarter,手輪鞋身幫腳,,
Component,Cà chân gò vòng sân,Rolling the edge of toe cap,手輪前套幫腳,,
Component,Cà dây gót,Rolling back strap,手輪後吊,,
Component,Cà dây quai lưỡi gà,Rolling tongue laceloops,剪鞋舌吊帶,,
Component,Cà lăn đế,Rolling outsole,手輪中底,,
Component,Cắt - may dằn nối viền,Cutting - Stitching the edge of binding,剪-車壓滾邊,,
Component,Cắt - may dây 3 sọc,Cutting - Stitching 3 tripes,剪-車三條槓,,
Component,Cắt chỉ,Cutting thread,剪線,,
Component,Cắt chỉ dây gót,Cutting thread of back strap,剪線後吊,,
Component,Cắt chỉ đệm ô dê (dạng dây kéo may lại mũi),Cutting thread of eyestay (...),剪線眼片(拉鍊版_短續針車),,
Component,Cắt chỉ đệm ô dê (lại mũi),Cutting thread of eyestay (...),剪線眼片(拉鍊版),,
Material,Miếng chắn bùn phần trước HT/HN,,前擋泥片内外腰 ,,
Material,Miếng chắn bùn phần trước,,前擋泥片,,
Material,3 dây trang trí HT/HN,,三饰条内外腰,,
Material,Đế cốp,,拉帮中底,,
Material,Dây cổ trong HT/HN,,领口条内外腰,,
Material,Dây mũi trong ,,鞋头条,,
Material,Trang trí hậu HT/HN,,后跟饰片内外腰,,
Material,Hậu HT/HN,,后跟内外腰,,
Material,Trang trí bao mũi,,前面饰片,,
Material,Trang trí lưỡi gà dưới,,鞋舌饰片下,,
Material,Trang trí thân HT/HN,,鞋身饰片内外腰,,
Material,3 dây trang trí vòng ngoài,,三飾條內外腰斬外框,,
Material,Vòng ngoài 3 dây trang trí HT/HN,,三饰条内外腰外框,,
Material,Vòng ngoài trang trí thân HT/HN,,鞋身饰片内外腰外框,,
Material,Thân dưới HT/HN,,鞋身下内外腰,,
Material,Tăng cường đệm HT/HN,,眼片补强内外腰,,
Material,Dây quai,,织带,,
Material,Tăng cường bao mũi trên,,前面上补强,,
Material,Tăng cường bao mũi dưới,,前面下补强,,
Material,Vòng ngoài mũi,,鞋头外框,,
Material,Mũi đệm,,鞋头眼片,,
Material,Lót vòng cổ dưới,,領口內裡下片,,
Material,Lót lưỡi gà dưới,,下內裡領口,,
Material,Chèn lưỡi gà,,鞋舌嵌入片,,
Material,Lót mũi thân,,鞋身-鞋頭內裡,,
Material,Trang trí đệm dưới,,下眼片饰片下,,
Material,Trang trí mũi dưới HT,,下鞋头饰片内腰,,
Material,Trang trí mũi trên HT,,鞋头饰片上内腰,,
Material,Trang trí mũi dưới HN,,鞋头饰片外腰,,
Material,Trang trí đệm dưới HT/HN,,眼片饰片下内外腰,,
Material,Đệm trên,,上眼片,,
Material,Đệm dưới,,鞋眼片,,
Material,Đệm HT/HN,,眼片内外腰,,
Material,Trang trí đệm ô dê,,片饰片内外腰,,
Material,Trang trí lưỡi gà dưới,,鞋舌饰片下,,
Material,Bao mũi dưới,,前面下片,,
Material,Lót mũi,,鞋头里,,
Material,Lót đệm,,眼片里,,
Material,Tăng cường mũi,,鞋头补强,,
Material,Lót vòng cổ,,領口里,,
Material,Lót lưỡi gà,,鞋舌里,,
Material,Lưỡi gà,,鞋舌,,
Material,Mũi thân,,鞋头身,,
Material,Thân HT/HN,,鞋身内外腰,,
Material,Vòng ngoài vòng cổ,,領口外框,,
Material,Mũi,,鞋頭,,
Material,Vòng cổ,,領口,,
Material,Tăng cường đệm,,眼片補強,,
Material,Bao mũi,,前面片,,
Material,Chắn bùn bao mũi,,前面挡泥片,,
Material,3 dây trang trí HN,,外腰三饰条,,
Material,Trang trí bao mũi dưới HT,,前面片下飾片內腰,,
Material,Vòng ngoài hậu,,後套外框,,
Material,Trang trí mũi,,鞋头饰片,,
Material,Trang trí lưỡi gà ,,鞋舌饰片,,
Material,Tăng cường hậu,,后套补强,,
Material,Gò mũi,Vamp lasting,前幫,,
Material,Gò hông,Side lasting,腰幫,,
Material,Gò gót+so đồng đôi,Heel lasting,後幫,,
Material,Gõ,Harmering,敲,,
Material,Kiểm tra,Inspecting,檢查,,
Material,Kiểm giày,Inspecting,檢鞋,,
Material,Định vị mũi,Positioning vamp,鞋頭劃線,,
Material,Mài thân,Skiving quarter,磨鞋身,,
Material,Mài đế lớn,Skiving outsole,磨大底,,
Material,Dây gót,Back strap,後吊,,
Material,Dây gót dưới,Bottom back strap,下後吊,,
Material,Dây gót trên,Top back strap ,上後吊,,
Material,Dây gót vòng cổ,Collar back strap,後吊領口,,
Material,Dây quai,Strap,拌帶,,
Material,Dây quai gót,Heel back stripe,後吊,,
Material,Dây quai hậu,Heel laceloop,後套拌帶,,
Material,Dây quai lưỡi gà,Tongue laceloops,鞋舌吊,,
Material,Dây quai mũi,Vamp laceloop,鞋頭吊,,
Material,Dây quai nhám 1,Vecro strap 1,絆帶1,,
Material,Dây quai nhám 2,Vecro strap 2,絆帶2,,
Material,Dây quai nhám 3,Vecro strap 3,絆帶3,,
Material,Dây quai thứ 1,1st strap velcro,第1個 絆帶,,
Material,Dây quai thứ 2,2nd strap velcro,第2個 絆帶,,
Material,Dây quai thứ 3,3rd strap velcro,第3個 絆帶,,
Material,Dây quai vòng cổ 1,Collar laceloop 1,領口拌帶 1,,
Material,Dây quai vòng cổ 2,Collar laceloop 2,領口拌帶 2,,
